feature_group,training_feature_code,source_field,sensor_no,point_name,point_location,feature_order
XD,point64.5XD_value,data2_value,1526002727,6号孔,4.5m,64
YD,point65.5YD_value,data1_value,1526002728,6号孔,5.5m,65
XD,point65.5XD_value,data2_value,1526002728,6号孔,5.5m,66
YD,point第二条线10.6YD_value,data1_value,1526002743,第二条线1号孔,0.6m,67
XD,point第二条线10.6XD_value,data2_value,1526002743,第二条线1号孔,0.6m,68
YD,point第二条线11.6YD_value,data1_value,1526002744,第二条线1号孔,1.6m,69
XD,point第二条线11.6XD_value,data2_value,1526002744,第二条线1号孔,1.6m,70
YD,point第二条线12.6YD_value,data1_value,1526002745,第二条线1号孔,2.6m,71
XD,point第二条线12.6XD_value,data2_value,1526002745,第二条线1号孔,2.6m,72
YD,point第二条线13.6YD_value,data1_value,1526002746,第二条线1号孔,3.6m,73
XD,point第二条线13.6XD_value,data2_value,1526002746,第二条线1号孔,3.6m,74
YD,point第二条线20.5YD_value,data1_value,1526002705,第二条线2号孔,0.5m,75
XD,point第二条线20.5XD_value,data2_value,1526002705,第二条线2号孔,0.5m,76
YD,point第二条线21.5YD_value,data1_value,1526002706,第二条线2号孔,1.5m,77
XD,point第二条线21.5XD_value,data2_value,1526002706,第二条线2号孔,1.5m,78
YD,point第二条线22.5YD_value,data1_value,1526002707,第二条线2号孔,2.5m,79
XD,point第二条线22.5XD_value,data2_value,1526002707,第二条线2号孔,2.5m,80
YD,point第二条线23.5YD_value,data1_value,1526002708,第二条线2号孔,3.5m,81
XD,point第二条线23.5XD_value,data2_value,1526002708,第二条线2号孔,3.5m,82
YD,point第二条线24.5YD_value,data1_value,1526002709,第二条线2号孔,4.5m,83
XD,point第二条线24.5XD_value,data2_value,1526002709,第二条线2号孔,4.5m,84
YD,point第二条线25.5YD_value,data1_value,1526002710,第二条线2号孔,5.5m,85
XD,point第二条线25.5XD_value,data2_value,1526002710,第二条线2号孔,5.5m,86
Strain,point10.12Strain_value,data1_value,0525002935,1号孔0.12m,,87
Pressure,point10.12Pressure_value,data2_value,0525002935,1号孔0.12m,,88
Strain,point11.12Strain_value,data1_value,0525002945,1号孔1.12m,,89
Pressure,point11.12Pressure_value,data2_value,0525002945,1号孔1.12m,,90
Strain,point12.12Strain_value,data1_value,0525002947,1号孔2.12m,,91
Pressure,point12.12Pressure_value,data2_value,0525002947,1号孔2.12m,,92
Strain,point13.12Strain_value,data1_value,0525002925,1号孔3.12m,,93
Pressure,point13.12Pressure_value,data2_value,0525002925,1号孔3.12m,,94
Strain,point14.12Strain_value,data1_value,0525002927,1号孔4.12m,,95
Pressure,point14.12Pressure_value,data2_value,0525002927,1号孔4.12m,,96
Strain,point15.12Strain_value,data1_value,0525002946,1号孔5.12m,,97
Pressure,point15.12Pressure_value,data2_value,0525002946,1号孔5.12m,,98
Strain,point16.12Strain_value,data1_value,0525002949,1号孔6.12m,,99
Pressure,point16.12Pressure_value,data2_value,0525002949,1号孔6.12m,,100
Strain,point20.2Strain_value,data1_value,0525002948,2号孔0.2m,,101
Pressure,point20.2Pressure_value,data2_value,0525002948,2号孔0.2m,,102
Strain,point21.2Strain_value,data1_value,0525002950,2号孔1.2m,,103
Pressure,point21.2Pressure_value,data2_value,0525002950,2号孔1.2m,,104
Strain,point22.2Strain_value,data1_value,0525002924,2号孔2.2m,,105
Pressure,point22.2Pressure_value,data2_value,0525002924,2号孔2.2m,,106
Strain,point23.2Strain_value,data1_value,0525002916,2号孔3.2m,,107
Pressure,point23.2Pressure_value,data2_value,0525002916,2号孔3.2m,,108
Strain,point24.2Strain_value,data1_value,0525002934,2号孔4.2m,,109
Pressure,point24.2Pressure_value,data2_value,0525002934,2号孔4.2m,,110
Strain,point25.2Strain_value,data1_value,0525002917,2号孔5.2m,,111
Pressure,point25.2Pressure_value,data2_value,0525002917,2号孔5.2m,,112
Strain,point26.2Strain_value,data1_value,0525002919,2号孔6.2m,,113
Pressure,point26.2Pressure_value,data2_value,0525002919,2号孔6.2m,,114
